File_Location,File_Name,File_Type,First_50_Bytes
C:\Users\John\Desktop\File,File072,None,89 50 4e 47 0d 0a 1a 0a 00 00 00 0d 49 48 44 52 00 00 03 88 00 00 04 ec 08 06 00 00 00 c2 72 ac 0c 00 01 00 00 49 44 41 54 78 9c ec fd 69 97 25 c9 71
C:\Users\John\Desktop\File,File073,Windows_executable,ff d8 ff e0 00 10 4a 46 49 46 00 01 01 00 00 01 00 01 00 00 ff db 00 43 00 08 06 06 07 06 05 08 07 07 07 09 09 08 0a 0c 14 0d 0c 0b 0b 0c 19 12 13 0f
C:\Users\John\Desktop\File,File074,PKZIP_archive_1,50 4b 03 04 0a 00 00 00 00 00 00 00 21 00 ff ff ff ff 2d 02 00 00 2d 02 00 00 10 00 00 00 5b 74 72 61 73 68 5d 2f 30 30 30 30 2e 64 61 74 ff ff ff ff
C:\Users\John\Desktop\File,File075,ZoneAlam_data_file,4d 5a 90 00 03 00 00 00 04 00 00 00 ff ff 00 00 b8 00 00 00 00 00 00 00 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
C:\Users\John\Desktop\File,File076,PKZIP_archive_1,50 4b 03 04 14 00 08 08 08 00 ab 0b 76 59 00 00 00 00 00 00 00 00 00 00 00 00 10 00 00 00 77 6f 72 64 2f 68 65 61 64 65 72 31 2e 78 6d 6c cd 96 db 8e
C:\Users\John\Desktop\File,File077,Windows_Script_Component_UTF_8_1,ef bb bf 3c 23 0a 2e 53 59 4e 4f 50 53 49 53 0a 09 49 6e 73 74 61 6c 6c 73 20 43 68 72 6f 6d 65 0a 2e 44 45 53 43 52 49 50 54 49 4f 4e 0a 09 54 68 69
C:\Users\John\Desktop\File,File078,Windows_executable,ff d8 ff e0 00 10 4a 46 49 46 00 01 01 00 00 01 00 01 00 00 ff db 00 43 00 08 06 06 07 06 05 08 07 07 07 09 09 08 0a 0c 14 0d 0c 0b 0b 0c 19 12 13 0f
C:\Users\John\Desktop\File,File079,Windows_executable,ff fb 90 00 03 00 00 00 04 00 00 00 ff ff 00 00 b8 00 00 00 00 00 00 00 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
C:\Users\John\Desktop\File,File080,ZoneAlam_data_file,4d 5a 90 00 03 00 00 00 04 00 00 00 ff ff 00 00 b8 00 00 00 00 00 00 00 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
C:\Users\John\Desktop\File,File081,ZoneAlam_data_file,4d 5a 90 00 03 00 00 00 04 00 00 00 ff ff 00 00 b8 00 00 00 00 00 00 00 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
C:\Users\John\Desktop\File,File082,None,40 65 63 68 6f 20 6f 66 66 0d 0a 73 65 74 20 70 61 74 68 73 3d 43 3a 5c 57 69 6e 64 6f 77 73 5c 20 43 3a 5c 55 73 65 72 73 5c 20 43 3a 5c 50 72 6f 67
C:\Users\John\Desktop\File,File083,None,40 65 63 68 6f 20 6f 66 66 0d 0a 73 65 74 20 2f 61 20 6e 75 6d 3d 25 72 61 6e 64 6f 6d 25 20 25 25 20 32 36 20 2b 20 36 35 0d 0a 66 6f 72 20 2f 66 20
C:\Users\John\Desktop\File,File084,None,25 50 44 46 2d 31 2e 33 0a 25 e2 e3 cf d3 0a 31 20 30 20 6f 62 6a 0a 3c 3c 0a 2f 54 79 70 65 20 2f 50 61 67 65 73 0a 2f 43 6f 75 6e 74 20 33 33 0a 2f
C:\Users\John\Desktop\File,File085,MS_Office_2007_documents,50 4b 03 04 14 00 06 00 08 00 00 00 21 00 b5 cf 3e 7b 02 01 00 00 bb 02 00 00 0b 00 ed 01 5f 72 65 6c 73 2f 2e 72 65 6c 73 20 a2 e9 01 28 a0 00 02 00
C:\Users\John\Desktop\File,File086,None,42 53 44 20 5a 65 72 6f 20 43 6c 61 75 73 65 20 4c 69 63 65 6e 73 65 0d 0a 0d 0a 43 6f 70 79 72 69 67 68 74 20 28 63 29 20 5b 79 65 61 72 5d 20 5b 66
C:\Users\John\Desktop\File,File087,MS_Office_2007_documents,50 4b 03 04 14 00 06 00 08 00 00 00 21 00 8f bf f1 36 23 04 00 00 c5 4e 00 00 13 00 08 02 5b 43 6f 6e 74 65 6e 74 5f 54 79 70 65 73 5d 2e 78 6d 6c 20
C:\Users\John\Desktop\File,File088,None,40 65 63 68 6f 20 6f 66 66 0d 0a 66 6f 72 20 2f 6c 20 25 25 69 20 69 6e 20 28 31 2c 31 2c 33 32 29 20 64 6f 20 28 0d 0a 20 20 20 20 73 65 74 20 2f 61
C:\Users\John\Desktop\File,File089,Windows_executable,ff d8 ff e0 00 10 4a 46 49 46 00 01 01 00 00 01 00 01 00 00 ff db 00 43 00 08 06 06 07 06 05 08 07 07 07 09 09 08 0a 0c 14 0d 0c 0b 0b 0c 19 12 13 0f
C:\Users\John\Desktop\File,File090,Windows_executable,ff d8 ff e0 00 10 4a 46 49 46 00 01 01 00 00 01 00 01 00 00 ff db 00 43 00 08 06 06 07 06 05 08 07 07 07 09 09 08 0a 0c 14 0d 0c 0b 0b 0c 19 12 13 0f
